Date,0P0000I2GD.F,0P0000UF8Z,0P0000VNQE,0P00011WKE,0P00018E88,0P00018LTL,0P0001A9KH,0P0001BT7G,0P0001E1Y3,0P0001IQQZ.L,0P0001KGO9,0P0001LTZG,0P0001N58O,0P0001Q6RL,0P0001T5CY,FRNRX,JSFRX,PTHYX,PWLEX,VIPSX
2021-12-01 00:00:00+00:00,,11.2791996002197,195.929702758789,,148.940002441406,0.340900003910065,219.953155517578,125.349998474121,175.25700378418,10327,14.0179996490479,,96.8031005859375,,,21.124963760376,10.7701082229614,11.8511629104614,6.46435165405273,12.3176593780518
2022-01-01 00:00:00+00:00,,10.9453001022339,193.340103149414,,147.369995117187,0.317299991846085,187.355987548828,121.690002441406,162.40299987793,10287,13.2250003814697,,95.405403137207,,,23.0578155517578,11.221061706543,11.7089328765869,6.85865020751953,12.3326044082642
2022-02-01 00:00:00+00:00,,10.8446998596191,193.568603515625,,146.270004272461,0.317299991846085,176.440185546875,120.180000305176,158.123001098633,10071,12.6470003128052,,95.382698059082,,,24.5701160430908,11.1180305480957,11.6008634567261,6.75387620925903,12.4193334579468
2022-03-01 00:00:00+00:00,,10.5347003936768,191.865295410156,,145.539993286133,0.324400007724762,170.23649597168,118.830001831055,166.455993652344,9916,12.7919998168945,,100.036201477051,,,27.0299987792969,11.1929626464844,11.2039442062378,6.58462619781494,12.0810956954956
2022-04-01 00:00:00+00:00,236.490005493164,10.1578998565674,176.653305053711,124.53589630127,144.589996337891,0.306300014257431,136.405197143555,113.150001525879,152.647003173828,9897,12.3879995346069,,103.994903564453,,,25.8527011871338,10.7527360916138,10.754358291626,6.98090505599976,11.9520244598389
2022-05-01 00:00:00+00:00,235.639999389648,10.141900062561,181.939300537109,127.237098693848,147.279998779297,0.300700008869171,116.125198364258,113.349998474121,149.438995361328,9927,12.6870002746582,,102.999397277832,,,28.3317279815674,10.7433700561523,10.9280862808228,7.02275609970093,11.8380289077759
2022-06-01 00:00:00+00:00,216.220001220703,9.87409973144531,167.162399291992,126.988296508789,140.759994506836,0.276899993419647,97.5270614624023,104.5,136.526992797852,9799,11.1389999389648,,105.055702209473,,,23.7756786346436,10.4623756408691,10.5155420303345,6.65445899963379,11.2066659927368
2022-07-01 00:00:00+00:00,230.309997558594,10.2805995941162,172.870803833008,126.531898498535,145.119995117188,0.296900004148483,109.306541442871,109.519996643066,147.63200378418,9888,11.6669998168945,,103.063598632813,,,25.0869770050049,10.5092086791992,10.9620265960693,6.76881122589111,11.9481267929077
2022-08-01 00:00:00+00:00,218.229995727539,9.96150016784668,170.127700805664,127.989799499512,143.770004272461,0.276600003242493,107.420890808105,106.76000213623,143.414993286133,9883,10.9849996566772,,108.877601623535,,,25.4028396606445,10.4717426300049,10.6682653427124,6.66599369049072,11.6337032318115
2022-09-01 00:00:00+00:00,205.960006713867,9.90260028839111,155.030807495117,128.671600341797,138.970001220703,0.245199993252754,94.0687866210937,101.48999786377,131.947006225586,9781,10.1890001296997,,117.542503356934,,,23.210958480835,10.3031454086304,10.0539398193359,6.33183670043945,10.6724634170532
2022-10-01 00:00:00+00:00,219.490005493164,9.78439998626709,157.472900390625,128.641998291016,142.649993896484,0.25110000371933,98.548210144043,104.389999389648,140.026992797852,9797,10.9230003356934,,117.389099121094,,,27.269287109375,10.3593444824219,9.8348913192749,6.78348445892334,11.0008172988892
2022-11-01 00:00:00+00:00,233.720001220703,10.059700012207,174.72509765625,131.330993652344,147.970001220703,0.26800000667572,105.506690979004,107.48999786377,143.251998901367,9905,12.3100004196167,,114.356101989746,,,28.9251613616943,10.5747737884521,10.463677406311,6.90508365631104,11.2019958496094
2022-12-01 00:00:00+00:00,228.289993286133,9.90340042114258,177.479995727539,132.405395507813,148.759994506836,0.259799987077713,101.386436462402,108.180000305176,138.802993774414,9963,12.3360004425049,,113.429000854492,10.0699996948242,,27.2501449584961,10.3031454086304,10.4060735702515,6.59240055084229,10.7813482284546
2023-01-01 00:00:00+00:00,245.289993286133,10.2333002090454,188.085098266602,133.528594970703,155.5,0.280499994754791,120.916259765625,112.480003356934,146.858001708984,10071,13.4280004501343,,114.336898803711,10.4343004226685,,29.7453498840332,10.8646631240845,10.8792791366577,6.88983821868897,11.2875385284424
2023-02-01 00:00:00+00:00,251.729995727539,10.1096000671387,181.27180480957,131.546493530273,154.850006103516,0.263999998569489,121.003387451172,110.48999786377,144.845993041992,10086,13.5520000457764,,118.239303588867,10.2603998184204,,27.597562789917,10.7292175292969,10.5636072158813,6.84402799606323,11.1187868118286
2023-03-01 00:00:00+00:00,246.800003051758,10.3219003677368,187.125396728516,131.552398681641,151.470001220703,0.247999995946884,120.521438598633,111.900001525879,148.626998901367,10087,13.9090003967285,,109.793098449707,10.2613000869751,,27.2935390472412,10.6421451568604,10.7161512374878,6.85319042205811,11.4094133377075
2023-04-01 00:00:00+00:00,252.25,10.418999671936,187.789199829102,136.649993896484,152.5,0.253199994564056,112.030433654785,113.230003356934,149.871002197266,10124,14.3290004730225,,111.277397155762,10.305100440979,,27.5583362579346,10.6905193328857,10.7544412612915,7.11888885498047,11.4517784118652
2023-05-01 00:00:00+00:00,244.899993896484,10.2228002548218,191.483901977539,132.681900024414,153.339996337891,0.242899999022484,112.185249328613,111.779998779297,150.546005249023,10154,13.6339998245239,,111.964698791504,10.1716003417969,,25.2830562591553,10.8162899017334,10.6557607650757,6.80738019943237,11.3107452392578
2023-06-01 00:00:00+00:00,252.580001831055,10.2405004501343,201.714492797852,135.002700805664,155.740005493164,0.251399993896484,125.436973571777,113.959999084473,160.858993530273,10182,14.3879995346069,,115.95890045166,10.0943002700806,,27.5485286712646,11.009783744812,10.8182344436646,6.95397281646729,11.1509094238281
2023-07-01 00:00:00+00:00,257.850006103516,10.1349000930786,208.095504760742,139.493301391602,159.630004882813,0.266299992799759,137.050384521484,116.129997253418,166.330993652344,10268,14.6639995574951,,114.306602478027,10.0804996490479,,29.7747707366943,11.1839275360107,10.848126411438,6.96313428878784,11.2689390182495
2023-08-01 00:00:00+00:00,253.960006713867,10.1408996582031,203.960006713867,137.707305908203,160.070007324219,0.257600009441376,119.550308227539,115.959999084473,164.895004272461,10320,14.331000328064,,112.99479675293,10.0459003448486,,29.2451801300049,11.0388069152832,10.6820278167725,6.99978256225586,11.1740026473999
2023-09-01 00:00:00+00:00,249.820007324219,9.88090038299561,202.316101074219,141.216293334961,159.410003662109,0.24099999666214,104.53434753418,114.190002441406,157.363998413086,10351,13.8070001602173,,109.913597106934,9.84259986877441,,28.9803848266602,10.8743381500244,10.2938108444214,7.05475473403931,10.8512191772461
2023-10-01 00:00:00+00:00,240.369995117187,9.82269954681397,195.770294189453,137.4501953125,157.779998779297,0.23309999704361,93.8193206787109,113.069999694824,152.434005737305,10378,13.2770004272461,,109.883903503418,9.7475004196167,,27.7642860412598,10.7582416534424,10.0316925048828,6.99978256225586,10.885347366333
2023-11-01 00:00:00+00:00,254.009994506836,10.2568998336792,209.672302246094,135.811004638672,165.100006103516,0.25560000538826,116.409469604492,118.470001220703,166.940002441406,10499,14.7200002670288,10.4700002670288,110.19409942627,10.0899000167847,,28.225227355957,11.1645784378052,10.8108539581299,7.08224058151245,11.1730651855469
2023-12-01 00:00:00+00:00,262.839996337891,10.5291004180908,220.635498046875,139.547500610352,170.460006713867,0.277700006961822,126.411567687988,123.75,175.184997558594,10627,15.5069999694824,10.960000038147,108.688598632813,10.382399559021,,28.274263381958,11.0775060653687,11.1820936203003,6.82570457458496,11.2497901916504
2024-01-01 00:00:00+00:00,266.809997558594,10.4715995788574,229.337799072266,141.08610534668,174.119995117188,0.266299992799759,119.963897705078,123.540000915527,179.283004760742,106.779998779297,15.3809995651245,11.4399995803833,112.260902404785,10.4111003875732,,27.7800006866455,11.5500001907349,11.231053352356,7.45506429672241,11.4952354431152
2024-02-01 00:00:00+00:00,271.809997558594,10.3927001953125,237.723602294922,140.616897583008,174.820007324219,0.270399987697601,137.625,123.870002746582,186.526000976563,106.870002746582,15.6700000762939,13.0200004577637,114.661003112793,10.3280000686646,,28.2900009155273,11.8199996948242,11.2999563217163,7.47430324554443,11.3681621551514
2024-03-01 00:00:00+00:00,284.559997558594,10.4293003082275,245.852600097656,146.703994750977,177.330001831055,0.278600007295609,140.534774780273,124.949996948242,194.878005981445,107.610000610352,16.2269992828369,13.3800001144409,119.44930267334,10.342399597168,,31.1200008392334,12,11.3984136581421,7.66669178009033,11.4365863800049
2024-04-01 00:00:00+00:00,283.130004882812,10.2782001495361,236.54150390625,152.091293334961,176.429992675781,0.2567999958992,128.862564086914,123.660003662109,188.074996948242,107.669998168945,16.2490005493164,12.6199998855591,118.792701721191,10.1965999603271,,30.9699993133545,11.9799995422363,11.2296962738037,7.49354219436646,11.264331817627
2024-05-01 00:00:00+00:00,292.209991455078,10.4267997741699,238.117095947266,154.293304443359,178.240005493164,0.270500004291534,122.133857727051,125.629997253418,193.417007446289,108.360000610352,17.0949993133545,13.3400001525879,120.624000549316,10.3077001571655,,31.7399997711182,12.1499996185303,11.2890605926514,7.48392295837402,11.4698495864868
2024-06-01 00:00:00+00:00,286.100006103516,10.538800239563,237.349395751953,150.858505249023,178.600006103516,0.274100005626678,120.633476257324,126.690002441406,204.938995361328,108.910003662109,16.4599990844727,13.8000001907349,121.082099914551,10.3964004516602,,30.6200008392334,12.3500003814697,11.5887289047241,7.41658687591553,11.4111289978027
2024-07-01 00:00:00+00:00,293.170013427734,10.7405004501343,251.608200073242,154.065307617188,181.039993286133,0.287600010633469,124.00074005127,128.529998779297,205.210006713867,109.919998168945,17.0739994049072,13.3000001907349,120.094802856445,10.597900390625,148.473999023438,31.4699993133545,12.3100004196167,11.7071180343628,7.95845365524292,11.7615585327148
2024-08-01 00:00:00+00:00,297.720001220703,10.7789001464844,251.620803833008,156.532806396484,183.080001831055,0.300599992275238,127.026481628418,131.839996337891,208.949005126953,110.639999389648,17.5949993133545,13.7700004577637,113.625503540039,10.6661996841431,143.692993164063,31.0300006866455,12.5500001907349,11.7670001983643,8.1148853302002,11.8606452941895
2024-09-01 00:00:00+00:00,297.660003662109,10.9933996200562,251.066604614258,151.687805175781,185.75,0.312900006771088,130.568252563477,133.300003051758,213.333999633789,111.370002746582,17.9050006866455,13.7600002288818,114.605400085449,10.8099002838135,143.953994750977,30.7800006866455,12.4799995422363,11.8299999237061,7.9682297706604,11.9200963973999
2024-10-01 00:00:00+00:00,288.920013427734,10.8271999359131,233.260192871094,156.487701416016,186.080001831055,0.305400013923645,129.169494628906,131.910003662109,212.856002807617,111.470001220703,17.1149997711182,13.5600004196167,111.130500793457,10.7098999023438,138.649002075195,30.4099998474121,12.4200000762939,11.8299999237061,8.05000019073486,11.8100004196167
2024-11-01 00:00:00+00:00,296.359985351563,10.93630027771,241.241302490234,155.296401977539,185.850006103516,0.307300001382828,148.578414916992,132.259994506836,224.912002563477,112.150001525879,16.7849998474121,14.4499998092651,113.651702880859,10.8050003051758,140.436996459961,31.7700004577637,12.5699996948242,11.8299999237061,8.25,11.8599996566772
